NUMBER,STREET,CITY,POSTCODE,country
1,Ahornweg,Aesch,4147,CH
11,Ahornweg,Aesch,4147,CH
13,Ahornweg,Aesch,4147,CH
15,Ahornweg,Aesch,4147,CH
17,Ahornweg,Aesch,4147,CH
19,Ahornweg,Aesch,4147,CH
3,Ahornweg,Aesch,4147,CH
5,Ahornweg,Aesch,4147,CH
7,Ahornweg,Aesch,4147,CH
9,Ahornweg,Aesch,4147,CH
1,Akazienweg,Aesch,4147,CH
10,Akazienweg,Aesch,4147,CH
11,Akazienweg,Aesch,4147,CH
12,Akazienweg,Aesch,4147,CH
13,Akazienweg,Aesch,4147,CH
14,Akazienweg,Aesch,4147,CH
15,Akazienweg,Aesch,4147,CH
15a,Akazienweg,Aesch,4147,CH
16,Akazienweg,Aesch,4147,CH
17,Akazienweg,Aesch,4147,CH
18,Akazienweg,Aesch,4147,CH
18a,Akazienweg,Aesch,4147,CH
2,Akazienweg,Aesch,4147,CH
2a,Akazienweg,Aesch,4147,CH
2b,Akazienweg,Aesch,4147,CH
2c,Akazienweg,Aesch,4147,CH
3,Akazienweg,Aesch,4147,CH
3a,Akazienweg,Aesch,4147,CH
4a,Akazienweg,Aesch,4147,CH
4b,Akazienweg,Aesch,4147,CH
4c,Akazienweg,Aesch,4147,CH
4d,Akazienweg,Aesch,4147,CH
4e,Akazienweg,Aesch,4147,CH
4f,Akazienweg,Aesch,4147,CH
4g,Akazienweg,Aesch,4147,CH
4h,Akazienweg,Aesch,4147,CH
5,Akazienweg,Aesch,4147,CH
5a,Akazienweg,Aesch,4147,CH
6,Akazienweg,Aesch,4147,CH
8,Akazienweg,Aesch,4147,CH
9,Akazienweg,Aesch,4147,CH
9a,Akazienweg,Aesch,4147,CH
1,Alemannenweg,Aesch,4147,CH
1a,Alemannenweg,Aesch,4147,CH
2,Alemannenweg,Aesch,4147,CH
3,Alemannenweg,Aesch,4147,CH
3a,Alemannenweg,Aesch,4147,CH
4,Alemannenweg,Aesch,4147,CH
6,Alemannenweg,Aesch,4147,CH
6a,Alemannenweg,Aesch,4147,CH
2,Am Baselweg,Aesch,4147,CH
4,Am Baselweg,Aesch,4147,CH
4a,Am Baselweg,Aesch,4147,CH
6,Am Baselweg,Aesch,4147,CH
6a,Am Baselweg,Aesch,4147,CH
8,Am Baselweg,Aesch,4147,CH
1,Am Hübeli,Aesch,4147,CH
2,Am Hübeli,Aesch,4147,CH
3,Am Hübeli,Aesch,4147,CH
4,Am Hübeli,Aesch,4147,CH
5,Am Hübeli,Aesch,4147,CH
6a,Am Hübeli,Aesch,4147,CH
2,Am Wirbel,Aesch,4147,CH
2_01,Am Wirbel,Aesch,4147,CH
4,Am Wirbel,Aesch,4147,CH
1,Amselweg,Aesch,4147,CH
11,Amselweg,Aesch,4147,CH
11a,Amselweg,Aesch,4147,CH
13,Amselweg,Aesch,4147,CH
13a,Amselweg,Aesch,4147,CH
14,Amselweg,Aesch,4147,CH
14a,Amselweg,Aesch,4147,CH
15,Amselweg,Aesch,4147,CH
15a,Amselweg,Aesch,4147,CH
16,Amselweg,Aesch,4147,CH
16a,Amselweg,Aesch,4147,CH
17,Amselweg,Aesch,4147,CH
17a,Amselweg,Aesch,4147,CH
18,Amselweg,Aesch,4147,CH
18a,Amselweg,Aesch,4147,CH
19,Amselweg,Aesch,4147,CH
19a,Amselweg,Aesch,4147,CH
1a,Amselweg,Aesch,4147,CH
20,Amselweg,Aesch,4147,CH
20a,Amselweg,Aesch,4147,CH
21,Amselweg,Aesch,4147,CH
21a,Amselweg,Aesch,4147,CH
23,Amselweg,Aesch,4147,CH
25,Amselweg,Aesch,4147,CH
25a,Amselweg,Aesch,4147,CH
27,Amselweg,Aesch,4147,CH
27a,Amselweg,Aesch,4147,CH
3,Amselweg,Aesch,4147,CH
3a,Amselweg,Aesch,4147,CH
5,Amselweg,Aesch,4147,CH
5a,Amselweg,Aesch,4147,CH
7,Amselweg,Aesch,4147,CH
7a,Amselweg,Aesch,4147,CH
9,Amselweg,Aesch,4147,CH
9a,Amselweg,Aesch,4147,CH
111,Andlauring,Aesch,4147,CH
30,Andlauring,Aesch,4147,CH
30a,Andlauring,Aesch,4147,CH
30b,Andlauring,Aesch,4147,CH
30c,Andlauring,Aesch,4147,CH
32,Andlauring,Aesch,4147,CH
34,Andlauring,Aesch,4147,CH
34a,Andlauring,Aesch,4147,CH
49,Andlauring,Aesch,4147,CH
69,Andlauring,Aesch,4147,CH
69_01,Andlauring,Aesch,4147,CH
69a,Andlauring,Aesch,4147,CH
69b,Andlauring,Aesch,4147,CH
69c,Andlauring,Aesch,4147,CH
69d,Andlauring,Aesch,4147,CH
69e,Andlauring,Aesch,4147,CH
69g,Andlauring,Aesch,4147,CH
69h,Andlauring,Aesch,4147,CH
69i,Andlauring,Aesch,4147,CH
69k,Andlauring,Aesch,4147,CH
69l,Andlauring,Aesch,4147,CH
69m,Andlauring,Aesch,4147,CH
69n,Andlauring,Aesch,4147,CH
69o,Andlauring,Aesch,4147,CH
1,Andlauweg,Aesch,4147,CH
10,Andlauweg,Aesch,4147,CH
12,Andlauweg,Aesch,4147,CH
14,Andlauweg,Aesch,4147,CH
16,Andlauweg,Aesch,4147,CH
1a,Andlauweg,Aesch,4147,CH
2,Andlauweg,Aesch,4147,CH
3,Andlauweg,Aesch,4147,CH
30,Andlauweg,Aesch,4147,CH
30a,Andlauweg,Aesch,4147,CH
4,Andlauweg,Aesch,4147,CH
6,Andlauweg,Aesch,4147,CH
7,Andlauweg,Aesch,4147,CH
8,Andlauweg,Aesch,4147,CH
9,Andlauweg,Aesch,4147,CH
11,Anton von Blarerweg,Aesch,4147,CH
13,Anton von Blarerweg,Aesch,4147,CH
13a,Anton von Blarerweg,Aesch,4147,CH
15,Anton von Blarerweg,Aesch,4147,CH
17,Anton von Blarerweg,Aesch,4147,CH
19,Anton von Blarerweg,Aesch,4147,CH
2,Anton von Blarerweg,Aesch,4147,CH
21,Anton von Blarerweg,Aesch,4147,CH
23,Anton von Blarerweg,Aesch,4147,CH
25,Anton von Blarerweg,Aesch,4147,CH
2a,Anton von Blarerweg,Aesch,4147,CH
3,Anton von Blarerweg,Aesch,4147,CH
4,Anton von Blarerweg,Aesch,4147,CH
5,Anton von Blarerweg,Aesch,4147,CH
7,Anton von Blarerweg,Aesch,4147,CH
9,Anton von Blarerweg,Aesch,4147,CH
1,Apfelseestrasse,Aesch,4147,CH
11,Arlesheimerstrasse,Aesch,4147,CH
22,Arlesheimerstrasse,Aesch,4147,CH
24,Arlesheimerstrasse,Aesch,4147,CH
30,Arlesheimerstrasse,Aesch,4147,CH
30a,Arlesheimerstrasse,Aesch,4147,CH
30b,Arlesheimerstrasse,Aesch,4147,CH
30c,Arlesheimerstrasse,Aesch,4147,CH
30d,Arlesheimerstrasse,Aesch,4147,CH
30e,Arlesheimerstrasse,Aesch,4147,CH
30f,Arlesheimerstrasse,Aesch,4147,CH
30g,Arlesheimerstrasse,Aesch,4147,CH
30h,Arlesheimerstrasse,Aesch,4147,CH
5,Arlesheimerstrasse,Aesch,4147,CH
7,Arlesheimerstrasse,Aesch,4147,CH
7a,Arlesheimerstrasse,Aesch,4147,CH
7b,Arlesheimerstrasse,Aesch,4147,CH
1,Austrasse,Aesch,4147,CH
11,Austrasse,Aesch,4147,CH
13,Austrasse,Aesch,4147,CH
17,Austrasse,Aesch,4147,CH
17a,Austrasse,Aesch,4147,CH
19,Austrasse,Aesch,4147,CH
1a,Austrasse,Aesch,4147,CH
2,Austrasse,Aesch,4147,CH
21,Austrasse,Aesch,4147,CH
23,Austrasse,Aesch,4147,CH
25,Austrasse,Aesch,4147,CH
27,Austrasse,Aesch,4147,CH
27a,Austrasse,Aesch,4147,CH
29,Austrasse,Aesch,4147,CH
31,Austrasse,Aesch,4147,CH
34,Austrasse,Aesch,4147,CH
36,Austrasse,Aesch,4147,CH
37,Austrasse,Aesch,4147,CH
37a,Austrasse,Aesch,4147,CH
38,Austrasse,Aesch,4147,CH
39,Austrasse,Aesch,4147,CH
40,Austrasse,Aesch,4147,CH
44,Austrasse,Aesch,4147,CH
